Time (min),CLK,clk,CLK/CYC_data,clk_data,CLK_data,CRY,cry,CRY_data,CWO,cwo,cwo_data,CWO_data,CYC/CLK,pdp1,PDP1,pdp1_data,PDP1_data,per,PER,PER/TIM-p,PER/TIM_data,per_data,PER_data,tim,TIM,tim_data,TIM_data,VRI,vri,vri_data,VRI_data,
0.1426, , ,99.8337,10.0464,0.8309, , ,58.6065, , ,71.2192,12.875, , , ,77.4903,54.0639, , , ,34.2423,99.3146,70.2925, , ,89.9215,77.0072, , ,90.5798,38.8468,
0.1429, , , , , , , , , , , , ,52.2222, , , , , , , , , , , , , , , , , , ,
0.1433, , , , , , , , , ,48.8095, , , , , , , , , , , , , , , , , , , , , ,
0.1437, , , , , ,92.5532, , , , , , , , , , , , , , , , , , , , , , , , , ,
0.1437, , , , , ,91.4894, , , , , , , , , , , , , , , , , , , , , , , , , ,
0.144, , , , , , , , , ,50, , ,51.1111,33.8235, , , , , ,10, , , , , , , , , , , ,
0.1448, , , , , , , , , , , , , , , , , , , , , , , , , , , ,5.2632, , , ,
0.1451, , ,99.7614,10.4005,0.9364, , ,58.1636, , ,72.0032,13.3148, , , ,78.034,54.7048, , , ,34.9153,99.429,70.9262, , ,90.337,77.5506, , ,90.9989,39.4732,
0.1453, , , , , , ,35, , , , , , , , , , , , , , , , , , , , , , , , ,
0.1457, , , , , , , , , , , , ,52.2222, , , , , , , , , , , , , , , , , , ,
0.1457, , , , , , , , , , , , ,51.1111, , , , , , , , , , , , , , , , , , ,
0.146, , , , , , , , ,20.2899, , , , , , , , , , , , , , , , , , , , , , ,
0.1464, , , , , , , , , ,50, , , , , , , , , , , , , , , , , , , , , ,
0.1479, , , , , , , , , , , , ,52.2222, , , , , , , , , , , , , , , , , , ,
0.1481, , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.5088, , , ,
0.1485, , , , , , , , , , , , , , ,7.6923, , , , , , , , ,52.9412, , , , , , , ,
0.1489, , , , , , , , , , , , , , , , , ,58.8235, , , , , , , , , , , , , ,
0.1495, , , , , , , , , , , , , , , , , , , , , , , , ,10, , , , , , ,
0.1497, , , , , , ,34, , , , , , , , , , , , , , , , , , , , , , , , ,
0.1501, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,35.8491, , ,
0.1511, , ,99.6777,10.758,1.0475, , ,57.7225, , ,72.7777,13.7595, , , ,78.5695,55.3418, , , ,35.5889,99.5325,71.5525, , ,90.742,78.0862, , ,91.4067,40.0982,
0.1511, , , , , , , , , ,51.1905, , , , , , , , , , , , , , ,0, , , , , , ,
0.1524, , , , , ,91.4894, , , , , , , , , , , , , , , , , , , , , , , , , ,
0.1528, , , , , , , , ,18.8406, , , , , , , , , , , , , , , , , , , , , , ,
