Time (min),CLK,clk,CRY,cry,CWO,cwo,CYC/CLK,pdp1,PDP1,per,PER,PER/TIM-p,tim,TIM,VRI,vri,clk_data,CLK_data,CLK/CYC_data,per_data,PER_data,tim_data,TIM_data,PER/TIM_data,cwo_data,CWO_data,pdp1_data,PDP1_data,vri_data,VRI_data,CRY_data
0.5568,,,95.7446808511,,,,,,,,,,,,,,0.0206792736,5.5950017289,89.4287822847,80.9969542731,31.8880819034,57.1730322095,41.4982159759,5.9583642035,28.4940542551,0.0467261409,42.5341209079,20.0267334002,57.1645427021,9.3842808605,82.1494449276
0.561,,,,,,,41.1111111111,,,,,,,,,,0.0081618812,5.3548963299,89.7152555942,81.4302355771,32.4579063542,57.7643736846,42.0707027802,6.2181241434,29.0270731838,0.0708134219,43.0839726637,20.472719801,57.7655375658,9.7101619941,81.8263059005
0.5627,,,,,,35.7142857143,,,,,,,,,,,0.0012632409,5.1196728518,89.9989925963,81.8592788101,33.0312104492,58.3553836269,42.6448352512,6.4842300496,29.5665556879,0.0999745529,43.6356464766,20.9231630168,58.3663940606,10.0416011206,81.500807495
0.5629,,,,,13.0434782609,,,,,,,,,,1.7543859649,,0,4.8893598027,90.279992593,82.2840872021,33.6079249635,58.9459855114,43.220540786,6.7567210355,30.1125093173,0.1342605409,44.189095639,21.3780339203,58.9670310084,10.3785892942,81.172965179
0.5686,,,94.6808510638,,,,,,,,,,,,,,0.004388157,4.6639859726,90.5582543041,82.7046646885,34.1879799677,59.5361030854,43.7977466727,7.0356348212,30.664939252,0.1737231477,44.7442734434,21.8373029761,59.5673673177,10.7211168855,80.8427944758
0.5703,,88.8888888889,95.7446808511,53,,,,,,,,,,,,,0.0142651315,4.4466120649,90.8299607847,83.1152512454,34.7631653493,60.1174608809,44.3683189892,7.3169930651,31.2160263171,0.217756475,45.2933729028,22.2944584613,60.1589767133,11.0642925576,80.5149533261
0.5839,,,94.6808510638,,,,,,,,,,,,,,0.0296681095,4.2340952395,91.0990003061,83.5217329775,35.3414613849,60.6982013441,44.9402106126,7.6046668948,31.7734128908,0.2669241667,45.8440619867,22.755830889,60.750137639,11.4128340511,80.1848784287
0.5856,,,,,,36.9047619048,,25,,,,,,,,,0.0506120087,4.0264622167,91.3653696491,83.9241150451,35.9227986929,61.2782523099,45.5133526381,7.8986895708,32.3370960953,0.3212772298,46.3962950933,23.2213898264,61.3407727853,11.7667301318,79.8525849181
0.5882,,,95.7446808511,,,,,,,,,,,,,,0.0771110979,3.8237396228,91.6290645862,84.322402906,36.5071071872,61.8575419765,46.0876760521,8.1990935175,32.9070702428,0.3808668224,46.9500261596,23.6911037801,61.9308050153,12.1259689711,79.5180880122
0.5916,,,,,,35.7142857143,,,,,,,,,,,0.1087457383,3.6283897758,91.886841575,84.7117116387,37.0869758167,62.4287905187,46.6559292621,8.5020438406,33.4761019372,0.444902485,47.4982767751,24.159006533,62.5128122287,12.4859588719,79.1856151642
0.5983,,,94.6808510638,,,,42.2222222222,,3.0769230769,,,,,0,,,0.1458255243,3.4378796051,92.141999427,85.0970389912,37.6696043559,62.9991583644,47.2252019043,8.811276489,34.0512494029,0.514145099,48.0478983093,24.6308984312,63.0940824565,12.851134192,78.8510232856
0.6111,,,,,,36.9047619048,,,,,,,,,,,0.1883636441,3.2522342317,92.3945309668,85.4783907923,38.2549235797,63.5685772996,47.7954286634,9.126819149,34.632498759,0.588644917,48.598845621,25.1067473284,63.6745418693,13.2214815572,78.5143273164
0.6119,,,,52,11.5942028986,,,,,52.9411764706,,,,,,,0.2363728532,3.0714784943,92.6444275455,85.8557727966,38.8428634803,64.1369794282,48.3665440064,9.4486984845,35.2198330773,0.668452946,49.1510731078,25.5865202625,64.254116839,13.5969869396,78.1755421969
