Time (min),CRY_ANIMO,CRY_ODE,
1571.7594,42.5532, ,
1572.701, ,93.765,
1574.5841,41.4894, ,
1577.4089,40.4255, ,
1577.4717, ,93.4813,
1578.0366, ,93.192,
1580.1709,39.3617, ,
1581.7402, ,92.9002,
1583.2467,38.2979, ,
1584.4394, ,92.6029,
1586.0087, ,92.3001,
1586.2598,37.234, ,
1587.6408, ,91.992,
1588.7079, ,91.7018,
1589.4612,36.1702, ,
1592.4115, ,91.407,
1592.5998,35.1064, ,
1594.0436, ,91.1077,
1595.8012,34.0426, ,
1597.7472, ,90.8039,
1599.3165,32.9787, ,
1601.4507, ,90.5121,
1602.8317,31.9149, ,
1604.15, ,90.2163,
1606.5353,30.8511, ,
1607.728, ,89.9166,
1610.4272,29.7872, ,
1611.0549, ,89.6129,
1614.068,28.7234, ,
1614.8213, ,89.3177,
1618.0227,27.6596, ,
1618.5248, ,89.019,
1619.592, ,88.7166,
1622.1656,26.5957, ,
1622.2284, ,88.4108,
1625.4298, ,88.1114,
1626.6225,25.5319, ,
1627.0619, ,87.8088,
1629.1962, ,87.5028,
1630.2633, ,87.1937,
1631.0166,24.4681, ,
1632.8997, ,86.8897,
1633.4647, ,86.5827,
1635.6617,23.4043, ,
1636.6661, ,86.2727,
1637.7332, ,85.9597,
1639.8047, ,85.651,
1640.4324,22.3404, ,
1640.8718, ,85.3394,
1643.0061, ,85.0251,
1645.3915,21.2766, ,
1646.2075, ,84.7079,
1647.2746, ,84.3944,
1650.7899,20.2128, ,
1653.6774, ,84.0781,
1656.3139,19.1489, ,
1656.3766, ,83.7593,
1659.578, ,83.4378,
1662.5283,18.0851, ,
1664.3487, ,83.1195,
1666.9852, ,82.7986,
1667.5501, ,82.4753,
1668.0523, ,82.1494,
1668.7428,17.0213, ,
1669.1194, ,81.8263,
1671.2537, ,81.5008,
1671.8187, ,81.173,
1675.1456,15.9574, ,
1676.0872, ,80.8428,
1678.2214, ,80.515,
1682.4272,14.8936, ,
1689.3949, ,80.1849,
1690.0854,13.8298, ,
1693.0985, ,79.8526,
1695.2328, ,79.5181,
