Time (min),cwo_ANIMO,cwo_ODE,
1185.8971, ,5.477,
1186.9643, ,5.2856,
1188.0314, ,5.0846,
1190.7306, ,4.8884,
1193.367, ,4.697,
1193.932, ,4.5104,
1197.1334, ,4.3173,
1198.7027, ,4.1295,
1199.5815, ,3.9467,
1200.3348, ,3.769,
1202.469, ,3.5892,
1205.6077, ,3.4148,
1208.3069, ,3.2455,
1210.4412, ,3.0813,
1212.0105, ,3.0127,
1215.2119, ,2.9451,
1216.279, ,2.8784,
1220.0453, ,2.8125,
1222.1796, ,2.7476,
1225.8832, ,2.6835,
1228.5196, ,2.6203,
1232.286, ,2.558,
1237.0567, ,2.4449,
1237.0567, ,2.3347,
1237.5588,1.1905, ,
1240.823, ,2.2274,
1242.3923, ,2.1229,
1245.8448,0, ,
1246.0959, ,2.0178,
1251.9965, ,1.9156,
1253.0636, ,1.8165,
1254.1308, ,1.7203,
1256.265, ,1.6203,
1257.3322, ,1.5236,
1258.3365,1.1905, ,
1261.0357, ,1.4301,
1264.8021, ,1.3399,
1265.8065, ,1.2468,
1267.9407, ,1.1573,
1268.1918,0, ,
1271.7071, ,1.0714,
1271.8954,1.1905, ,
1272.7742, ,0.989,
1273.2764, ,0.9048,
1275.4106, ,0.8246,
1277.5449, ,0.7482,
1278.612, ,0.6758,
1280.3697,0, ,
1281.3112, ,0.6032,
1284.2616, ,0.535,
1285.5798,1.1905, ,
1286.5841, ,0.4709,
1291.4176, ,0.4111,
1292.422,0, ,
1295.1212, ,0.3532,
1296.2511,1.1905, ,
1297.8204, ,0.2998,
1301.0218, ,0.2509,
1302.0889, ,0.2064,
1304.2232, ,0.1656,
1304.7254,0, ,
1306.2319,1.1905, ,
1308.9939, ,0.1293,
1312.6975, ,0.0976,
1314.3296, ,0.0703,
1315.8361,2.381, ,
1316.2755, ,0.0476,
1316.9032,1.1905, ,
1321.6739, ,0.0292,
1323.3688, ,0.0153,
1324.0593,2.381, ,
1324.4359, ,0.0058,
1326.5702, ,0.0008,
1329.2066, ,0,
1331.9058, ,0.0035,
1333.4752, ,0.0113,
1337.2415, ,0.0231,
1338.748,3.5714, ,
1339.3758, ,0.039,
1340.4429, ,0.0591,
1343.0793, ,0.0833,
1345.0253,4.7619, ,
1346.2807, ,0.1112,
1347.3479,3.5714, ,
1347.9128, ,0.1432,
1349.4821, ,0.1792,
1350.8003,4.7619, ,
1352.1186, ,0.2192,
1353.1857, ,0.2628,
1353.7507, ,0.3103,
1355.32, ,0.3618,
1356.5126,5.9524, ,
1359.3374,4.7619, ,
1359.5885, ,0.4174,
1362.2877, ,0.4764,
1363.3548, ,0.5393,
1364.9241, ,0.6063,
1365.4891, ,0.6774,
1366.8073,5.9524, ,
1368.1255, ,0.752,
1375.0305, ,0.8306,
1376.0976, ,0.9133,
1376.5371,7.1429, ,
1378.7969, ,1.0002,
1379.864, ,1.0907,
1380.9311, ,1.1855,
1381.3705,8.3333, ,
1384.1325, ,1.2845,
1387.3339, ,1.3877,
1390.0959,9.5238, ,
1391.0375, ,1.4951,
1394.7411, ,1.6068,
1395.8082, ,1.7228,
1396.8753, ,1.8434,
1397.8797,8.3333, ,
1398.3191,9.5238, ,
1398.5074, ,1.9686,
1401.7088, ,2.0984,
1402.3993,10.7143, ,
1404.9102, ,2.2329,
1406.1656,11.9048, ,
1407.5466, ,2.372,
1408.4882,10.7143, ,
1409.6809, ,2.5168,
1409.8065,11.9048, ,
1411.8152, ,2.6664,
1413.8239,13.0952, ,
1415.5187, ,2.6835,
1420.6033,11.9048, ,
1420.9799,13.0952, ,
1422.4865, ,2.7476,
1424.6207,14.2857, ,
1426.1901, ,2.8125,
1428.5126,15.4762, ,
1429.9564, ,2.8784,
1430.7097,14.2857, ,
1431.9024,15.4762, ,
1435.2921,16.6667, ,
1437.1752,15.4762, ,
1437.3636, ,2.9451,
1438.619,16.6667, ,
1440.565, ,3.0127,
1440.6905,15.4762, ,
1441.6321,16.6667, ,
1444.7707,17.8571, ,
1447.5327,19.0476, ,
1449.102, ,3.0813,
1449.6042,17.8571, ,
1450.7341,19.0476, ,
1454.9398, ,3.2455,
1456.007, ,3.4148,
1456.7602,20.2381, ,
1457.0741, ,3.5704,
1458.1412,19.0476, ,
1459.6478,20.2381, ,
1460.8405, ,3.7565,
1462.7864,21.4286, ,
1462.9747, ,3.9482,
1465.4856,22.619, ,
1465.6112, ,4.1455,
1466.9922,21.4286, ,
1468.8126, ,4.1911,
1470.4446, ,4.237,
1471.0724,22.619, ,
1471.5118, ,4.2831,
1473.7088,23.8095, ,
1474.1482,22.619, ,
1476.3452,23.8095, ,
1478.9189,25,4.3296,
1480.551, ,4.3764,
1481.2415,23.8095, ,
1483.7524, ,4.4234,
1483.8779,25, ,
1486.3888,26.1905, ,
1489.9041, ,4.4708,
1491.4734,27.381, ,
1491.7245, ,4.5185,
1493.3566,27.381, ,
1495.3025,26.1905, ,
1495.7419,27.381, ,
1498.4412,28.5714, ,
1499.6966, ,4.5753,
1500.8265,29.7619, ,
1501.6425,28.5714, ,
1501.8309, ,4.6325,
1502.3958, ,4.6901,
1502.898,29.7619, ,
