Time (min),clk,CLK,cry,CRY,cwo,CWO,CYC/CLK,PDP1,pdp1,PER,per,PER/TIM-p,TIM,tim,VRI,vri
329.912,,,,98.9795918367,,,,,,,,,,,,
330.972,,,,100,,,,,,,,,,,,
331.936,,,,98.9795918367,,,,,,,,,,,,
332.776,,,,100,,,,,,,,,,,,
333.28,,,,,,,,,,,,,,44.4444444444,,
333.96,,,,98.9795918367,,,,,,,,,,,,
334.356,,,,,,41.6666666667,,,,,,,,,,
335.028,,,,100,,,,,,,,,,,,
335.596,,,,,,,,,,,,,,,97.8723404255,30.7692307692
335.984,,,,98.9795918367,,,,,,,,,,,,
336.824,,,,100,,,,,,,,,,,,
338.008,,,,98.9795918367,,,,,,,,,,,,
339.084,,,,100,,,,,,,,,,,,
340.032,,,,98.9795918367,,,,,46,,2.6315789474,,,,,
340.872,,,,100,,,,,,,,,,,,
342.056,,,,98.9795918367,,,,,,,,100,,,,
343.14,,,,100,,,,,,,,,,,,
344.08,,,,98.9795918367,,,,,,,,,,,,
344.92,,,,100,,,,,,,,,,,,
346.104,,,,98.9795918367,,,,,,,,,,,,
347.196,,,,100,,,,,,84.6153846154,,,,,,
348.128,,,,98.9795918367,,,,,,,,,,,,
348.968,38.8888888889,,,100,,,,,,,,,,,,28.2051282051
350.152,,,,98.9795918367,,,,,,,,,,,,
351.252,,,,100,,,,,44,,,,,,,
352.176,,,,98.9795918367,,,,,,,,,,,,
353.016,,,,100,,,,,,,,,,,,
353.422,,,,,,,,,,,0,,,,,
354.2,,,,98.9795918367,,,,,,,,,,40.7407407407,,
355.308,,,,100,,,,,,,,,,,,
356.224,,,,98.9795918367,,,,,,,,,,,,
357.064,,,,100,,,,,,,,,,,,
358.248,,,,98.9795918367,,,,,,,,,,,,
359.364,,,,100,,,,,,,,,,,,
360.272,,,,98.9795918367,,,,,,,,,,,,
361.112,,,,100,,,,,,,,,,,,
362.484,,,,98.9795918367,,,,,,,,,,,,
362.66,,53.8461538462,,,,,,,42,,,,,,,25.641025641
