Time (min),CLK/CYC_ODE,CLK_ODE,clk_ODE,CRY_ODE,CWO_ODE,cwo_ODE,PDP1_ODE,pdp1_ODE,PER/TIM_ODE,PER_ODE,per_ODE,TIM_ODE,tim_ODE,VRI_ODE,vri_ODE,
534.3819,60.7045,48.4064,72.9966,4.607,87.2786,84.785,99.9996,95.2547,99.1971,96.5085,67.9279,96.865,85.1113,97.8604,83.4884,
535.9512,60.6697,48.4482,73.0345,4.5748,87.3128,84.7486,99.9998,95.2372,99.2056,96.4931,67.8942,96.8521,85.0831,97.873,83.4593,
538.0854,60.6349,48.4901,73.0725,4.5427,87.347,84.7123,99.9999,95.2197,99.2141,96.4777,67.8606,96.8392,85.0548,97.8857,83.4303,
539.1526,60.6001,48.532,73.1104,4.5105,87.3811,84.6759,100,95.2022,99.2225,96.4623,67.8269,96.8263,85.0265,97.8983,83.4012,
540.2197,60.5653,48.5739,73.1483,4.4784,87.4152,84.6395,100,95.1846,99.2309,96.4468,67.7932,96.8133,84.9982,97.9108,83.372,
541.4124,60.5585,48.5822,73.1558,4.472,87.4219,84.6323,100,95.1812,99.2326,96.4438,67.7866,96.8108,84.9927,97.9133,83.3663,
549.2589,60.5516,48.5904,73.1632,4.4657,87.4286,84.6251,100,95.1777,99.2342,96.4407,67.78,96.8082,84.9871,97.9158,83.3606,
553.0253,60.5448,48.5986,73.1707,4.4594,87.4353,84.618,100,95.1743,99.2359,96.4377,67.7733,96.8057,84.9815,97.9182,83.3549,
554.0924,60.5379,48.6069,73.1781,4.4531,87.442,84.6108,100,95.1708,99.2375,96.4346,67.7667,96.8031,84.976,97.9207,83.3491,
557.796,60.5374,48.6074,73.1786,4.4526,87.4424,84.6103,100,95.1706,99.2376,96.4344,67.7663,96.8029,84.9756,97.9209,83.3487,
561.4996,60.537,48.608,73.1792,4.4522,87.4429,84.6098,100,95.1703,99.2377,96.4342,67.7658,96.8028,84.9752,97.921,83.3483,
562.0017,60.5365,48.6086,73.1797,4.4518,87.4433,84.6093,100,95.1701,99.2378,96.434,67.7654,96.8026,84.9748,97.9212,83.348,
562.0645,60.5361,48.6091,73.1802,4.4513,87.4438,84.6089,100,95.1699,99.2379,96.4338,67.7649,96.8024,84.9744,97.9214,83.3476,
562.5667,60.5357,48.6096,73.1806,4.451,87.4441,84.6085,100,95.1697,99.238,96.4337,67.7646,96.8023,84.9742,97.9215,83.3473,
